"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.468699490E-1,-1.866401732E-1,5.024927482E-2,9.794121742E0,9.796028800E0
7.492580220E-1,-1.674975902E-1,5.024927482E-2,9.782157898E0,9.783720845E0
7.516461470E-1,-1.531406492E-1,5.742774159E-2,9.767801285E0,9.769170484E0
7.540342200E-1,-1.579262912E-1,4.785645381E-2,9.765408516E0,9.766802672E0
7.564222930E-1,-1.459621787E-1,5.024927482E-2,9.772586823E0,9.773805971E0
7.588104180E-1,-1.555334777E-1,5.264209956E-2,9.796515465E0,9.797891462E0
7.611984910E-1,-1.674975902E-1,6.939185411E-2,9.823135376E0,9.824808359E0
7.635866160E-1,-1.698904037E-1,4.546362907E-2,9.844670296E0,9.846241055E0
7.659746890E-1,-1.627119333E-1,5.024927482E-2,9.856635094E0,9.858106082E0
7.683628140E-1,-1.651047617E-1,5.024927482E-2,9.837491989E0,9.839005702E0
7.707508870E-1,-1.794617027E-1,4.785645381E-2,9.835099220E0,9.836852821E0
7.731389600E-1,-1.770688742E-1,4.067798331E-2,9.813264847E0,9.814946512E0
7.755270850E-1,-1.794617027E-1,4.307080805E-2,9.789336205E0,9.791075780E0
